""	"x"
"1"	"A"
"2"	"C"
"3"	"A"
"4"	"F"
"5"	"F"
"6"	"F"
"7"	"B"
"8"	"E"
"9"	"C"
"10"	"C"
"11"	"A"
"12"	"B"
"13"	"D"
"14"	"A"
"15"	"E"
"16"	"A"
"17"	"A"
"18"	"F"
"19"	"F"
"20"	"F"
"21"	"F"
"22"	"D"
"23"	"F"
"24"	"C"
"25"	"B"
"26"	"F"
"27"	"D"
"28"	"E"
"29"	"F"
"30"	"B"
"31"	"B"
"32"	"B"
"33"	"A"
"34"	"A"
"35"	"F"
"36"	"B"
"37"	"F"
"38"	"A"
"39"	"A"
"40"	"A"
"41"	"A"
"42"	"C"
"43"	"A"
"44"	"A"
"45"	"F"
"46"	"E"
"47"	"B"
"48"	"F"
"49"	"D"
"50"	"F"
"51"	"A"
"52"	"A"
"53"	"B"
"54"	"B"
"55"	"E"
"56"	"C"
"57"	"A"
"58"	"B"
"59"	"C"
"60"	"B"
"61"	"A"
"62"	"A"
"63"	"F"
"64"	"B"
"65"	"A"
"66"	"F"
"67"	"F"
"68"	"E"
"69"	"F"
"70"	"A"
"71"	"A"
"72"	"F"
"73"	"A"
"74"	"A"
"75"	"B"
"76"	"A"
"77"	"B"
"78"	"A"
"79"	"B"
"80"	"E"
"81"	"B"
"82"	"F"
"83"	"D"
"84"	"F"
"85"	"F"
"86"	"E"
"87"	"F"
"88"	"C"
"89"	"D"
"90"	"B"
"91"	"B"
"92"	"D"
"93"	"F"
"94"	"F"
"95"	"B"
"96"	"A"
"97"	"F"
"98"	"E"
"99"	"F"
"100"	"B"
"101"	"E"
"102"	"B"
"103"	"A"
"104"	"C"
"105"	"F"
"106"	"D"
"107"	"C"
"108"	"B"
"109"	"A"
"110"	"A"
"111"	"A"
"112"	"D"
"113"	"A"
"114"	"C"
"115"	"F"
"116"	"F"
"117"	"F"
"118"	"D"
"119"	"B"
"120"	"F"
"121"	"A"
"122"	"C"
"123"	"F"
"124"	"F"
"125"	"F"
"126"	"F"
"127"	"B"
"128"	"F"
"129"	"F"
"130"	"C"
"131"	"B"
"132"	"A"
"133"	"F"
"134"	"F"
"135"	"F"
"136"	"F"
"137"	"D"
"138"	"B"
"139"	"A"
"140"	"B"
"141"	"E"
"142"	"D"
"143"	"E"
"144"	"E"
"145"	"C"
"146"	"B"
"147"	"C"
"148"	"F"
"149"	"C"
"150"	"C"
"151"	"A"
"152"	"A"
"153"	"F"
"154"	"F"
"155"	"B"
"156"	"E"
"157"	"C"
"158"	"B"
"159"	"F"
"160"	"F"
"161"	"F"
"162"	"D"
"163"	"A"
"164"	"A"
"165"	"A"
"166"	"C"
"167"	"F"
"168"	"E"
"169"	"F"
"170"	"F"
"171"	"F"
"172"	"B"
"173"	"E"
"174"	"B"
"175"	"B"
"176"	"D"
"177"	"D"
"178"	"E"
"179"	"F"
"180"	"D"
"181"	"C"
"182"	"B"
"183"	"C"
"184"	"A"
"185"	"B"
"186"	"B"
"187"	"F"
"188"	"C"
"189"	"C"
"190"	"F"
"191"	"F"
"192"	"B"
"193"	"F"
"194"	"E"
"195"	"A"
"196"	"B"
"197"	"F"
"198"	"A"
"199"	"A"
"200"	"A"
"201"	"F"
"202"	"B"
"203"	"A"
"204"	"A"
"205"	"A"
"206"	"F"
"207"	"A"
"208"	"E"
"209"	"C"
"210"	"F"
"211"	"B"
"212"	"B"
"213"	"A"
"214"	"F"
"215"	"F"
"216"	"B"
"217"	"E"
"218"	"F"
"219"	"B"
"220"	"D"
"221"	"E"
"222"	"F"
"223"	"E"
"224"	"F"
"225"	"F"
"226"	"F"
"227"	"F"
"228"	"D"
"229"	"A"
"230"	"B"
"231"	"A"
"232"	"A"
"233"	"A"
"234"	"B"
"235"	"F"
"236"	"F"
"237"	"A"
"238"	"C"
"239"	"C"
"240"	"C"
"241"	"F"
"242"	"B"
"243"	"C"
"244"	"F"
"245"	"B"
"246"	"E"
"247"	"C"
"248"	"C"
"249"	"A"
"250"	"D"
"251"	"C"
"252"	"A"
"253"	"B"
"254"	"F"
"255"	"B"
"256"	"A"
"257"	"B"
"258"	"C"
"259"	"B"
"260"	"E"
"261"	"A"
"262"	"B"
"263"	"E"
"264"	"A"
"265"	"A"
"266"	"C"
"267"	"A"
"268"	"B"
"269"	"B"
"270"	"A"
"271"	"A"
"272"	"D"
"273"	"C"
"274"	"B"
"275"	"F"
"276"	"E"
"277"	"B"
"278"	"B"
"279"	"A"
"280"	"A"
"281"	"A"
"282"	"B"
"283"	"A"
"284"	"D"
"285"	"E"
"286"	"A"
"287"	"B"
"288"	"F"
"289"	"A"
"290"	"F"
"291"	"A"
"292"	"F"
"293"	"B"
"294"	"A"
"295"	"F"
"296"	"B"
"297"	"E"
"298"	"B"
"299"	"F"
"300"	"E"
"301"	"A"
"302"	"F"
"303"	"A"
"304"	"F"
"305"	"A"
"306"	"B"
"307"	"E"
"308"	"F"
"309"	"B"
"310"	"C"
"311"	"F"
"312"	"C"
"313"	"F"
"314"	"A"
"315"	"A"
"316"	"F"
"317"	"B"
"318"	"A"
"319"	"D"
"320"	"B"
"321"	"B"
"322"	"F"
"323"	"B"
"324"	"A"
"325"	"A"
"326"	"C"
"327"	"F"
"328"	"E"
"329"	"B"
"330"	"A"
"331"	"B"
"332"	"F"
"333"	"F"
"334"	"B"
"335"	"B"
"336"	"B"
"337"	"F"
"338"	"A"
"339"	"E"
"340"	"F"
"341"	"E"
"342"	"A"
"343"	"F"
"344"	"E"
"345"	"B"
"346"	"C"
"347"	"E"
"348"	"D"
"349"	"C"
"350"	"B"
"351"	"A"
"352"	"D"
"353"	"B"
"354"	"B"
"355"	"B"
"356"	"B"
"357"	"A"
"358"	"D"
"359"	"F"
"360"	"F"
"361"	"A"
"362"	"A"
"363"	"B"
"364"	"B"
"365"	"B"
"366"	"A"
"367"	"F"
"368"	"F"
"369"	"F"
"370"	"D"
"371"	"C"
"372"	"F"
"373"	"A"
"374"	"B"
"375"	"A"
"376"	"F"
"377"	"F"
"378"	"F"
"379"	"C"
"380"	"A"
"381"	"E"
"382"	"F"
"383"	"F"
"384"	"F"
"385"	"B"
"386"	"B"
"387"	"C"
"388"	"E"
"389"	"A"
"390"	"F"
"391"	"A"
"392"	"D"
"393"	"F"
"394"	"F"
"395"	"B"
"396"	"E"
"397"	"D"
"398"	"C"
"399"	"D"
"400"	"F"
"401"	"E"
"402"	"C"
"403"	"F"
"404"	"D"
"405"	"A"
"406"	"C"
"407"	"D"
"408"	"B"
"409"	"E"
"410"	"F"
"411"	"F"
"412"	"A"
"413"	"C"
"414"	"F"
"415"	"B"
"416"	"A"
"417"	"A"
"418"	"B"
"419"	"E"
"420"	"B"
"421"	"A"
"422"	"F"
"423"	"F"
"424"	"E"
"425"	"A"
"426"	"F"
"427"	"A"
"428"	"B"
"429"	"A"
"430"	"E"
"431"	"F"
"432"	"F"
"433"	"E"
"434"	"D"
"435"	"A"
"436"	"A"
"437"	"C"
"438"	"B"
"439"	"A"
"440"	"A"
"441"	"C"
"442"	"C"
"443"	"F"
"444"	"A"
"445"	"D"
"446"	"E"
"447"	"D"
"448"	"C"
"449"	"B"
"450"	"F"
"451"	"B"
"452"	"A"
"453"	"B"
"454"	"F"
"455"	"F"
"456"	"B"
"457"	"F"
"458"	"A"
"459"	"E"
"460"	"D"
"461"	"B"
"462"	"B"
"463"	"A"
"464"	"C"
"465"	"F"
"466"	"B"
"467"	"A"
"468"	"F"
"469"	"B"
"470"	"E"
"471"	"E"
"472"	"B"
"473"	"A"
"474"	"A"
"475"	"D"
"476"	"A"
"477"	"C"
"478"	"A"
"479"	"C"
"480"	"B"
"481"	"F"
"482"	"C"
"483"	"E"
"484"	"B"
"485"	"A"
"486"	"C"
"487"	"D"
"488"	"D"
"489"	"F"
"490"	"C"
"491"	"F"
"492"	"D"
"493"	"D"
"494"	"F"
"495"	"B"
"496"	"A"
"497"	"A"
"498"	"B"
"499"	"C"
"500"	"D"
"501"	"B"
"502"	"C"
"503"	"E"
"504"	"B"
"505"	"E"
"506"	"A"
"507"	"A"
"508"	"E"
"509"	"D"
"510"	"F"
"511"	"F"
"512"	"E"
"513"	"A"
"514"	"A"
"515"	"D"
"516"	"C"
"517"	"A"
"518"	"A"
"519"	"F"
