""	"x"
"1"	"B"
"2"	"C"
"3"	"C"
"4"	"C"
"5"	"C"
"6"	"F"
"7"	"C"
"8"	"D"
"9"	"A"
"10"	"F"
"11"	"A"
"12"	"D"
"13"	"C"
"14"	"F"
"15"	"B"
"16"	"C"
"17"	"B"
"18"	"F"
"19"	"F"
"20"	"C"
"21"	"D"
"22"	"E"
"23"	"E"
"24"	"E"
"25"	"F"
"26"	"F"
"27"	"C"
"28"	"C"
"29"	"F"
"30"	"C"
"31"	"E"
"32"	"C"
"33"	"A"
"34"	"C"
"35"	"F"
"36"	"F"
"37"	"E"
"38"	"F"
"39"	"A"
"40"	"F"
"41"	"D"
"42"	"D"
"43"	"B"
"44"	"F"
"45"	"B"
"46"	"B"
"47"	"C"
"48"	"C"
"49"	"B"
"50"	"F"
"51"	"C"
"52"	"B"
"53"	"C"
"54"	"B"
"55"	"B"
"56"	"C"
"57"	"F"
"58"	"B"
"59"	"E"
"60"	"F"
"61"	"B"
"62"	"B"
"63"	"D"
"64"	"F"
"65"	"C"
"66"	"B"
"67"	"F"
"68"	"D"
"69"	"C"
"70"	"C"
"71"	"E"
"72"	"C"
"73"	"A"
"74"	"C"
"75"	"B"
"76"	"B"
"77"	"F"
"78"	"C"
"79"	"D"
"80"	"F"
"81"	"C"
"82"	"C"
"83"	"C"
"84"	"F"
"85"	"C"
"86"	"F"
"87"	"C"
"88"	"F"
"89"	"F"
"90"	"B"
"91"	"E"
"92"	"B"
"93"	"B"
"94"	"C"
"95"	"F"
"96"	"C"
"97"	"D"
"98"	"C"
"99"	"C"
"100"	"A"
"101"	"F"
"102"	"C"
"103"	"F"
"104"	"B"
"105"	"F"
"106"	"F"
"107"	"C"
"108"	"B"
"109"	"C"
"110"	"F"
"111"	"C"
"112"	"C"
"113"	"F"
"114"	"D"
"115"	"B"
"116"	"B"
"117"	"C"
"118"	"C"
"119"	"B"
"120"	"C"
"121"	"F"
"122"	"A"
"123"	"F"
"124"	"F"
"125"	"B"
"126"	"C"
"127"	"E"
"128"	"E"
"129"	"F"
"130"	"C"
"131"	"F"
"132"	"F"
"133"	"A"
"134"	"C"
"135"	"B"
"136"	"C"
"137"	"C"
"138"	"F"
"139"	"B"
"140"	"F"
"141"	"C"
"142"	"C"
"143"	"F"
"144"	"C"
"145"	"F"
"146"	"D"
"147"	"B"
"148"	"F"
"149"	"E"
"150"	"C"
"151"	"F"
"152"	"C"
"153"	"B"
"154"	"B"
"155"	"F"
"156"	"F"
"157"	"B"
"158"	"B"
"159"	"B"
"160"	"D"
"161"	"A"
"162"	"F"
"163"	"A"
"164"	"B"
"165"	"F"
"166"	"A"
"167"	"C"
"168"	"B"
"169"	"A"
"170"	"F"
"171"	"A"
"172"	"B"
"173"	"E"
"174"	"F"
"175"	"F"
"176"	"F"
"177"	"B"
"178"	"F"
"179"	"D"
"180"	"A"
"181"	"F"
"182"	"D"
"183"	"C"
"184"	"B"
"185"	"C"
"186"	"F"
"187"	"E"
"188"	"D"
"189"	"C"
"190"	"F"
"191"	"A"
"192"	"C"
"193"	"D"
"194"	"C"
"195"	"B"
"196"	"A"
"197"	"F"
"198"	"B"
"199"	"D"
"200"	"A"
"201"	"C"
"202"	"C"
"203"	"B"
"204"	"A"
"205"	"B"
"206"	"B"
"207"	"C"
"208"	"B"
"209"	"B"
"210"	"C"
"211"	"F"
"212"	"F"
"213"	"B"
"214"	"C"
"215"	"F"
"216"	"C"
"217"	"C"
"218"	"B"
"219"	"C"
"220"	"B"
"221"	"F"
"222"	"C"
"223"	"C"
"224"	"A"
"225"	"F"
"226"	"C"
"227"	"C"
"228"	"F"
"229"	"F"
"230"	"F"
"231"	"B"
"232"	"C"
"233"	"A"
"234"	"B"
"235"	"B"
"236"	"F"
"237"	"C"
"238"	"F"
"239"	"E"
"240"	"C"
"241"	"F"
"242"	"A"
"243"	"C"
"244"	"A"
"245"	"F"
"246"	"B"
"247"	"C"
"248"	"F"
"249"	"E"
"250"	"B"
"251"	"A"
"252"	"B"
"253"	"B"
"254"	"B"
"255"	"A"
"256"	"C"
"257"	"F"
"258"	"C"
"259"	"B"
"260"	"F"
"261"	"C"
"262"	"B"
"263"	"C"
"264"	"A"
"265"	"A"
"266"	"F"
"267"	"C"
"268"	"B"
"269"	"B"
"270"	"F"
"271"	"C"
"272"	"B"
"273"	"B"
"274"	"F"
"275"	"C"
"276"	"E"
"277"	"F"
"278"	"D"
"279"	"B"
"280"	"C"
"281"	"F"
"282"	"C"
"283"	"F"
"284"	"A"
"285"	"B"
"286"	"F"
"287"	"F"
"288"	"C"
"289"	"F"
"290"	"B"
"291"	"C"
"292"	"C"
"293"	"C"
"294"	"C"
"295"	"B"
"296"	"B"
"297"	"F"
"298"	"C"
"299"	"A"
"300"	"A"
"301"	"C"
"302"	"F"
"303"	"D"
"304"	"F"
"305"	"C"
"306"	"F"
"307"	"B"
"308"	"C"
"309"	"F"
"310"	"C"
"311"	"F"
"312"	"C"
"313"	"F"
"314"	"F"
"315"	"C"
"316"	"C"
"317"	"B"
"318"	"F"
"319"	"F"
"320"	"F"
"321"	"F"
"322"	"B"
"323"	"C"
"324"	"C"
"325"	"D"
"326"	"E"
"327"	"C"
"328"	"C"
"329"	"F"
"330"	"F"
"331"	"F"
"332"	"F"
"333"	"F"
"334"	"F"
"335"	"F"
"336"	"F"
"337"	"C"
"338"	"C"
"339"	"B"
"340"	"F"
"341"	"B"
"342"	"F"
"343"	"F"
"344"	"F"
"345"	"F"
"346"	"F"
"347"	"F"
"348"	"F"
"349"	"E"
"350"	"F"
"351"	"A"
"352"	"B"
"353"	"F"
"354"	"B"
"355"	"F"
"356"	"F"
"357"	"C"
"358"	"C"
"359"	"C"
"360"	"B"
"361"	"F"
"362"	"C"
"363"	"C"
"364"	"B"
"365"	"B"
"366"	"B"
"367"	"B"
"368"	"F"
"369"	"D"
"370"	"B"
"371"	"C"
"372"	"F"
"373"	"C"
"374"	"B"
"375"	"C"
"376"	"A"
"377"	"F"
"378"	"A"
"379"	"C"
"380"	"C"
"381"	"F"
"382"	"B"
"383"	"C"
"384"	"E"
"385"	"C"
"386"	"C"
"387"	"F"
"388"	"C"
"389"	"B"
"390"	"B"
"391"	"F"
"392"	"C"
"393"	"C"
"394"	"F"
"395"	"C"
"396"	"B"
"397"	"F"
"398"	"B"
"399"	"C"
"400"	"C"
"401"	"B"
"402"	"F"
"403"	"D"
"404"	"B"
"405"	"A"
"406"	"B"
"407"	"F"
"408"	"E"
"409"	"F"
"410"	"F"
"411"	"C"
"412"	"D"
"413"	"F"
"414"	"C"
"415"	"C"
"416"	"A"
"417"	"C"
"418"	"B"
"419"	"C"
"420"	"F"
"421"	"B"
"422"	"A"
"423"	"C"
"424"	"F"
"425"	"C"
"426"	"C"
"427"	"A"
"428"	"F"
"429"	"F"
"430"	"F"
"431"	"B"
"432"	"A"
"433"	"B"
"434"	"A"
"435"	"B"
"436"	"C"
"437"	"A"
"438"	"F"
"439"	"B"
"440"	"B"
"441"	"A"
"442"	"B"
"443"	"C"
"444"	"F"
"445"	"B"
"446"	"F"
"447"	"F"
"448"	"D"
"449"	"F"
"450"	"C"
"451"	"B"
"452"	"A"
"453"	"A"
"454"	"A"
"455"	"C"
"456"	"F"
"457"	"B"
"458"	"C"
"459"	"C"
"460"	"C"
"461"	"C"
"462"	"E"
"463"	"A"
"464"	"B"
"465"	"B"
"466"	"D"
"467"	"C"
"468"	"C"
"469"	"F"
"470"	"C"
"471"	"B"
"472"	"F"
"473"	"B"
"474"	"F"
"475"	"C"
"476"	"C"
"477"	"E"
"478"	"A"
"479"	"D"
"480"	"B"
"481"	"C"
"482"	"C"
"483"	"B"
"484"	"F"
"485"	"E"
"486"	"A"
"487"	"C"
"488"	"B"
"489"	"C"
"490"	"B"
"491"	"A"
"492"	"B"
"493"	"B"
"494"	"B"
"495"	"C"
"496"	"F"
"497"	"C"
"498"	"C"
"499"	"F"
"500"	"C"
"501"	"F"
"502"	"A"
"503"	"A"
"504"	"C"
"505"	"B"
"506"	"B"
"507"	"F"
"508"	"E"
"509"	"B"
"510"	"B"
"511"	"B"
"512"	"B"
"513"	"C"
"514"	"B"
"515"	"E"
"516"	"F"
"517"	"F"
"518"	"A"
"519"	"B"
"520"	"F"
"521"	"A"
"522"	"C"
"523"	"C"
"524"	"B"
"525"	"D"
"526"	"E"
"527"	"B"
"528"	"A"
"529"	"B"
"530"	"F"
"531"	"E"
"532"	"F"
"533"	"B"
"534"	"E"
"535"	"E"
"536"	"B"
"537"	"C"
"538"	"E"
"539"	"A"
"540"	"F"
"541"	"A"
"542"	"A"
"543"	"B"
"544"	"C"
"545"	"B"
"546"	"B"
"547"	"F"
"548"	"A"
"549"	"C"
"550"	"C"
"551"	"A"
"552"	"D"
"553"	"C"
"554"	"B"
"555"	"A"
"556"	"A"
"557"	"F"
"558"	"B"
"559"	"F"
"560"	"F"
"561"	"E"
"562"	"B"
"563"	"C"
"564"	"F"
"565"	"C"
"566"	"F"
"567"	"B"
"568"	"C"
"569"	"B"
"570"	"F"
"571"	"F"
"572"	"C"
"573"	"A"
"574"	"C"
"575"	"B"
"576"	"F"
"577"	"D"
"578"	"B"
"579"	"F"
"580"	"F"
"581"	"F"
"582"	"A"
"583"	"C"
"584"	"F"
"585"	"B"
"586"	"C"
"587"	"F"
"588"	"F"
"589"	"F"
"590"	"E"
"591"	"B"
"592"	"F"
"593"	"C"
"594"	"C"
"595"	"C"
"596"	"A"
"597"	"F"
"598"	"F"
"599"	"B"
"600"	"B"
"601"	"D"
"602"	"B"
"603"	"B"
"604"	"B"
"605"	"E"
"606"	"D"
"607"	"C"
"608"	"B"
"609"	"B"
"610"	"F"
"611"	"C"
"612"	"A"
"613"	"B"
"614"	"B"
"615"	"F"
"616"	"C"
"617"	"E"
"618"	"B"
"619"	"E"
"620"	"F"
"621"	"A"
"622"	"F"
"623"	"B"
"624"	"C"
"625"	"C"
"626"	"A"
"627"	"A"
"628"	"F"
"629"	"B"
"630"	"B"
"631"	"C"
"632"	"A"
"633"	"A"
"634"	"F"
"635"	"B"
"636"	"D"
"637"	"D"
"638"	"C"
"639"	"B"
"640"	"F"
"641"	"C"
"642"	"C"
"643"	"F"
"644"	"F"
"645"	"C"
"646"	"D"
"647"	"C"
"648"	"F"
"649"	"C"
"650"	"F"
"651"	"C"
"652"	"B"
"653"	"F"
"654"	"F"
"655"	"A"
"656"	"A"
"657"	"F"
"658"	"C"
"659"	"F"
"660"	"B"
"661"	"F"
"662"	"D"
"663"	"C"
"664"	"B"
"665"	"D"
"666"	"D"
"667"	"E"
"668"	"B"
"669"	"F"
"670"	"C"
"671"	"A"
"672"	"A"
"673"	"C"
"674"	"C"
"675"	"F"
"676"	"B"
"677"	"A"
"678"	"F"
"679"	"C"
"680"	"B"
"681"	"B"
"682"	"C"
"683"	"C"
"684"	"B"
"685"	"A"
"686"	"B"
"687"	"C"
"688"	"F"
"689"	"E"
"690"	"B"
"691"	"C"
"692"	"B"
"693"	"C"
"694"	"F"
"695"	"F"
"696"	"F"
"697"	"F"
"698"	"F"
"699"	"D"
"700"	"A"
"701"	"B"
"702"	"E"
"703"	"A"
"704"	"B"
"705"	"B"
"706"	"B"
"707"	"A"
"708"	"A"
"709"	"B"
"710"	"F"
"711"	"B"
"712"	"B"
"713"	"C"
"714"	"C"
"715"	"C"
"716"	"C"
"717"	"B"
"718"	"F"
"719"	"B"
"720"	"F"
"721"	"C"
"722"	"C"
"723"	"F"
"724"	"D"
"725"	"F"
"726"	"B"
"727"	"F"
"728"	"F"
"729"	"F"
"730"	"C"
"731"	"B"
"732"	"B"
"733"	"C"
"734"	"F"
"735"	"F"
"736"	"B"
"737"	"B"
"738"	"E"
"739"	"B"
"740"	"E"
"741"	"C"
"742"	"B"
"743"	"C"
"744"	"B"
"745"	"B"
"746"	"B"
"747"	"B"
"748"	"F"
"749"	"B"
"750"	"B"
"751"	"F"
"752"	"F"
"753"	"C"
"754"	"C"
"755"	"C"
"756"	"B"
"757"	"C"
"758"	"A"
"759"	"B"
"760"	"C"
"761"	"B"
"762"	"F"
"763"	"E"
"764"	"C"
"765"	"A"
"766"	"F"
"767"	"F"
"768"	"A"
"769"	"F"
"770"	"A"
"771"	"A"
"772"	"F"
"773"	"F"
"774"	"B"
"775"	"D"
"776"	"C"
"777"	"F"
"778"	"B"
"779"	"F"
"780"	"D"
"781"	"A"
"782"	"F"
"783"	"F"
"784"	"F"
"785"	"F"
"786"	"E"
"787"	"E"
"788"	"B"
"789"	"D"
"790"	"D"
"791"	"B"
"792"	"C"
"793"	"A"
"794"	"B"
"795"	"B"
"796"	"B"
"797"	"E"
"798"	"A"
"799"	"B"
"800"	"B"
"801"	"A"
"802"	"C"
"803"	"F"
"804"	"F"
"805"	"F"
"806"	"B"
"807"	"E"
"808"	"C"
"809"	"F"
"810"	"C"
"811"	"C"
"812"	"C"
"813"	"F"
"814"	"C"
"815"	"D"
"816"	"B"
"817"	"F"
"818"	"A"
"819"	"C"
"820"	"C"
"821"	"C"
"822"	"F"
"823"	"C"
"824"	"F"
"825"	"D"
"826"	"F"
"827"	"F"
"828"	"D"
"829"	"F"
"830"	"C"
"831"	"C"
"832"	"B"
"833"	"C"
"834"	"B"
"835"	"D"
"836"	"C"
"837"	"C"
"838"	"E"
"839"	"F"
"840"	"F"
"841"	"C"
"842"	"C"
"843"	"F"
"844"	"A"
"845"	"C"
"846"	"F"
"847"	"F"
"848"	"F"
"849"	"A"
"850"	"C"
"851"	"F"
"852"	"B"
"853"	"B"
"854"	"C"
"855"	"B"
"856"	"F"
"857"	"D"
"858"	"C"
"859"	"C"
"860"	"F"
"861"	"C"
