""	"x"
"1"	"B"
"2"	"E"
"3"	"A"
"4"	"E"
"5"	"B"
"6"	"C"
"7"	"A"
"8"	"B"
"9"	"B"
"10"	"C"
"11"	"A"
"12"	"C"
"13"	"F"
"14"	"A"
"15"	"B"
"16"	"E"
"17"	"B"
"18"	"B"
"19"	"B"
"20"	"D"
"21"	"B"
"22"	"B"
"23"	"F"
"24"	"C"
"25"	"B"
"26"	"A"
"27"	"C"
"28"	"A"
"29"	"A"
"30"	"C"
"31"	"A"
"32"	"B"
"33"	"E"
"34"	"B"
"35"	"E"
"36"	"A"
"37"	"E"
"38"	"B"
"39"	"C"
"40"	"B"
"41"	"B"
"42"	"A"
"43"	"A"
"44"	"F"
"45"	"B"
"46"	"A"
"47"	"C"
"48"	"B"
"49"	"B"
"50"	"C"
"51"	"A"
"52"	"A"
"53"	"B"
"54"	"B"
"55"	"B"
"56"	"A"
"57"	"B"
"58"	"B"
"59"	"A"
"60"	"B"
"61"	"B"
"62"	"B"
"63"	"F"
"64"	"B"
"65"	"E"
"66"	"B"
"67"	"A"
"68"	"B"
"69"	"B"
"70"	"B"
"71"	"B"
"72"	"F"
"73"	"B"
"74"	"D"
"75"	"B"
"76"	"E"
"77"	"A"
"78"	"D"
"79"	"B"
"80"	"B"
"81"	"A"
"82"	"D"
"83"	"F"
"84"	"A"
"85"	"E"
"86"	"B"
"87"	"E"
"88"	"B"
"89"	"B"
"90"	"F"
"91"	"F"
"92"	"D"
"93"	"B"
"94"	"B"
"95"	"F"
"96"	"B"
"97"	"D"
"98"	"E"
"99"	"F"
"100"	"B"
"101"	"A"
"102"	"B"
"103"	"E"
"104"	"B"
"105"	"B"
"106"	"F"
"107"	"D"
"108"	"B"
"109"	"F"
"110"	"A"
"111"	"A"
"112"	"B"
"113"	"B"
"114"	"F"
"115"	"E"
"116"	"C"
"117"	"F"
"118"	"B"
"119"	"B"
"120"	"B"
"121"	"B"
"122"	"E"
"123"	"A"
"124"	"C"
"125"	"D"
"126"	"B"
"127"	"B"
"128"	"F"
"129"	"E"
"130"	"F"
"131"	"B"
"132"	"B"
"133"	"C"
"134"	"E"
"135"	"D"
"136"	"B"
"137"	"B"
"138"	"B"
"139"	"A"
"140"	"B"
"141"	"D"
"142"	"B"
"143"	"F"
"144"	"D"
"145"	"D"
"146"	"F"
"147"	"B"
"148"	"C"
"149"	"D"
"150"	"B"
"151"	"F"
"152"	"B"
"153"	"A"
"154"	"A"
"155"	"C"
"156"	"A"
"157"	"A"
"158"	"F"
"159"	"A"
"160"	"F"
"161"	"C"
"162"	"B"
"163"	"B"
"164"	"E"
"165"	"B"
"166"	"D"
"167"	"D"
"168"	"E"
"169"	"E"
"170"	"C"
"171"	"D"
"172"	"E"
"173"	"A"
"174"	"A"
"175"	"A"
"176"	"A"
"177"	"B"
"178"	"B"
"179"	"B"
"180"	"B"
"181"	"D"
"182"	"B"
"183"	"B"
"184"	"A"
"185"	"A"
"186"	"D"
"187"	"D"
"188"	"A"
"189"	"E"
"190"	"B"
"191"	"F"
"192"	"C"
"193"	"B"
"194"	"A"
"195"	"B"
"196"	"B"
"197"	"B"
"198"	"D"
"199"	"E"
"200"	"B"
"201"	"E"
"202"	"C"
"203"	"B"
"204"	"A"
"205"	"C"
"206"	"B"
"207"	"A"
"208"	"B"
"209"	"A"
"210"	"B"
"211"	"F"
"212"	"E"
"213"	"E"
"214"	"B"
"215"	"B"
"216"	"A"
"217"	"C"
"218"	"B"
"219"	"A"
"220"	"B"
"221"	"B"
"222"	"D"
"223"	"A"
"224"	"F"
"225"	"F"
"226"	"F"
"227"	"B"
"228"	"B"
"229"	"A"
"230"	"B"
"231"	"A"
"232"	"A"
"233"	"E"
"234"	"D"
"235"	"A"
"236"	"B"
"237"	"F"
"238"	"B"
"239"	"C"
"240"	"B"
"241"	"F"
"242"	"D"
"243"	"D"
"244"	"B"
"245"	"B"
"246"	"E"
"247"	"B"
"248"	"B"
"249"	"A"
"250"	"A"
"251"	"A"
"252"	"B"
"253"	"A"
"254"	"B"
"255"	"B"
"256"	"B"
"257"	"F"
"258"	"B"
"259"	"B"
"260"	"F"
"261"	"C"
"262"	"B"
"263"	"B"
"264"	"B"
"265"	"B"
"266"	"D"
"267"	"B"
"268"	"A"
"269"	"E"
"270"	"B"
"271"	"E"
"272"	"B"
"273"	"E"
"274"	"C"
"275"	"D"
"276"	"B"
"277"	"A"
"278"	"A"
"279"	"D"
"280"	"A"
"281"	"E"
"282"	"F"
"283"	"E"
"284"	"E"
"285"	"B"
"286"	"A"
"287"	"C"
"288"	"F"
"289"	"B"
"290"	"C"
"291"	"B"
"292"	"A"
"293"	"B"
"294"	"B"
"295"	"B"
"296"	"B"
"297"	"F"
"298"	"C"
"299"	"B"
"300"	"B"
"301"	"B"
"302"	"A"
"303"	"E"
"304"	"F"
"305"	"B"
"306"	"E"
"307"	"B"
"308"	"F"
"309"	"B"
"310"	"B"
"311"	"D"
"312"	"A"
"313"	"A"
"314"	"D"
"315"	"C"
"316"	"B"
"317"	"E"
"318"	"B"
"319"	"F"
"320"	"A"
"321"	"A"
"322"	"D"
"323"	"D"
"324"	"E"
"325"	"A"
"326"	"A"
"327"	"A"
"328"	"B"
"329"	"B"
"330"	"B"
"331"	"B"
"332"	"D"
"333"	"B"
"334"	"B"
"335"	"F"
"336"	"B"
"337"	"E"
"338"	"C"
"339"	"C"
"340"	"B"
"341"	"B"
"342"	"B"
"343"	"E"
